********************************
Villa availability
********************************
1: Scrape webpages and store data
2: Load data and visualize it
********************************
Your choice: 2
--- Show NMB data ---
+ ------------------------------ + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- ‖ -------- + -------- + -------- + -------- + -------- + -------- + -------- +
| Villa                          | Jan 2025 | Feb 2025 | Mar 2025 | Apr 2025 | May 2025 | Jun 2025 | Jul 2025 | Aug 2025 | Sep 2025 | Oct 2025 | Nov 2025 | Dec 2025 | Jan 2026 | Feb 2026 | Mar 2026 | Apr 2026 | May 2026 | Jun 2026 ‖ Jul 2026 | Aug 2026 | Sep 2026 | Oct 2026 | Nov 2026 | Dec 2026 | Avg 2026 |
| Villa Long Island              |     22.6 |     96.4 |    100.0 |    100.0 |     96.8 |     30.0 |     67.7 |     35.5 |     53.3 |     51.6 |     73.3 |     61.3 |     64.5 |    100.0 |    100.0 |     96.7 |     77.4 |     46.7 ‖     58.1 |     71.0 |     56.7 |     19.4 |     63.3 |     41.9 |     66.3 |
| Villa Lugano                   |     45.2 |     85.7 |    100.0 |    100.0 |     96.8 |      0.0 |     48.4 |     58.1 |     26.7 |     12.9 |     46.7 |     67.7 |      9.7 |    100.0 |     87.1 |     70.0 |     67.7 |      0.0 ‖     54.8 |      0.0 |      0.0 |     12.9 |     86.7 |     29.0 |     43.2 |
| Villa Lumina                   |    100.0 |    100.0 |    100.0 |    100.0 |     74.2 |     53.3 |     32.3 |     45.2 |     43.3 |      0.0 |     63.3 |     54.8 |     41.9 |     89.3 |     83.9 |     93.3 |      3.2 |    100.0 ‖     83.9 |     35.5 |      0.0 |     64.5 |     70.0 |     16.1 |     56.8 |
| Villa Marie Angeline           |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |     35.5 |    100.0 |    100.0 |     96.8 |      0.0 |      0.0 |      0.0 ‖     48.4 |     22.6 |      0.0 |      0.0 |      0.0 |      0.0 |     30.6 |
| Villa Matlacha Isles           |      0.0 |      0.0 |     45.2 |     60.0 |      0.0 |     20.0 |     35.5 |     51.6 |      0.0 |     22.6 |     46.7 |     35.5 |     90.3 |    100.0 |     96.8 |     96.7 |     67.7 |      0.0 ‖     51.6 |     48.4 |      0.0 |     29.0 |     66.7 |     93.5 |     61.7 |
| Villa Maverick                 |     77.4 |    100.0 |    100.0 |     90.0 |     87.1 |     93.3 |     38.7 |     48.4 |     20.0 |     67.7 |     63.3 |     80.6 |     22.6 |     92.9 |     87.1 |     80.0 |     74.2 |     26.7 ‖     51.6 |     77.4 |      0.0 |      0.0 |      0.0 |      9.7 |     43.5 |
| Villa Mayflower                |     90.3 |    100.0 |     96.8 |     13.3 |    100.0 |     30.0 |      0.0 |      0.0 |      0.0 |      3.2 |      0.0 |      0.0 |      0.0 |    100.0 |     74.2 |     50.0 |    100.0 |     46.7 ‖      0.0 |      0.0 |      0.0 |     32.3 |     83.3 |      0.0 |     40.5 |
| Villa Momoa                    |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |     36.7 |     45.2 |     54.8 |     96.4 |    100.0 |     60.0 |     41.9 |     50.0 ‖     77.4 |     71.0 |     36.7 |     67.7 |     56.7 |     32.3 |     62.1 |
| Villa Next Level               |    100.0 |    100.0 |     71.0 |     76.7 |     19.4 |      0.0 |     22.6 |      0.0 |      0.0 |      6.5 |     56.7 |    100.0 |    100.0 |     67.9 |    100.0 |     30.0 |     16.1 |      0.0 ‖      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |     26.2 |
| Villa Overseas                 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |     20.0 |     16.1 |      3.2 |    100.0 |    100.0 |     26.7 |     38.7 |     40.0 ‖     67.7 |     38.7 |      0.0 |      0.0 |      0.0 |     35.5 |     37.5 |
| Villa Pelican Bay              |     64.5 |    100.0 |     96.8 |     83.3 |     67.7 |     23.3 |     25.8 |      6.5 |     40.0 |      0.0 |     16.7 |     71.0 |      6.5 |    100.0 |    100.0 |     73.3 |     35.5 |      0.0 ‖      0.0 |      0.0 |      0.0 |     19.4 |     43.3 |      0.0 |     31.5 |
| Villa Pink Lemonade            |     38.7 |    100.0 |     93.5 |     93.3 |     61.3 |      0.0 |     41.9 |    100.0 |     33.3 |     54.8 |     70.0 |     19.4 |      3.2 |    100.0 |     90.3 |     70.0 |     74.2 |     63.3 ‖     54.8 |    100.0 |     16.7 |     22.6 |     70.0 |     41.9 |     58.9 |
| Villa Pura Vida                |     58.1 |    100.0 |    100.0 |     76.7 |     48.4 |      0.0 |     32.3 |     12.9 |      0.0 |     45.2 |     60.0 |     61.3 |    100.0 |    100.0 |    100.0 |     56.7 |     22.6 |     33.3 ‖     67.7 |      0.0 |     50.0 |     41.9 |      3.3 |      0.0 |     48.0 |
