********************************
Villa availability
********************************
1: Scrape webpages and store data
2: Load data and visualize it
3: Compare this year with the last
********************************
Your choice: 3
--- Compare nmb year over year ---
--- Jan-Jun 2025 vs Jan-Jun 2026 (percentage points) ---
+ ------------------------------ + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- +
| Villa                          |      Jan |      Feb |      Mar |      Apr |      May |      Jun |     2025 |     2026 |    Delta |
+ ------------------------------ + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- +
| Villa                          |      Jan |      Feb |      Mar |      Apr |      Mai |      Jun |     2025 |     2026 |    Delta |
+ ------------------------------ + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- +
| Bella Villa 141                |     +0.0 |     +0.0 |     +0.0 |     +0.0 |     -3.2 |   -100.0 |    100.0 |     82.8 |    -17.2 |
| Hemingway by the Beach         |        - |        - |        - |        - |        - |        - |        - |     68.1 |        - |
| The Barefoot Oasis             |    -38.7 |    -28.6 |    -25.8 |     -6.7 |     -9.7 |    +70.0 |     88.3 |     81.8 |     -6.6 |
| Villa 4Dreamers                |    -25.8 |    -17.9 |     +3.2 |     +3.3 |     -6.5 |    +40.0 |     58.2 |     57.6 |     -0.6 |
| Villa 8Lakes                   |    -74.2 |     -7.1 |     +0.0 |    -33.3 |    -29.0 |    -23.3 |     78.6 |     50.8 |    -27.8 |
| Villa Aguabella                |    -87.1 |    +89.3 |    +29.0 |    +36.7 |     -3.2 |     +0.0 |     31.2 |     42.0 |    +10.8 |
| Villa Alica                    |     +9.7 |    -75.0 |   -100.0 |    -86.7 |     +6.5 |     +0.0 |     68.2 |     27.3 |    -40.9 |
| Villa Amara                    |     +0.0 |     +0.0 |     -9.7 |    -16.7 |   +100.0 |    +76.7 |     68.9 |     93.9 |    +25.1 |
| Villa Ambiente                 |    -22.6 |    +17.9 |    +19.4 |    -50.0 |    +16.1 |    +13.3 |     54.1 |     53.1 |     -1.0 |
| Villa Aquamarine               |        - |        - |        - |        - |        - |        - |        - |      0.0 |        - |
| Villa Arte Vita                |    -22.6 |    +50.0 |     -3.2 |    -13.3 |   +100.0 |     +0.0 |     66.9 |     85.4 |    +18.5 |
| Villa Azur                     |        - |        - |        - |        - |        - |        - |        - |      8.3 |        - |
| Villa Barracuda                |        - |        - |        - |        - |        - |        - |        - |     40.5 |        - |
| Villa Bayshore                 |    -35.5 |     +0.0 |    +32.3 |    +66.7 |    +77.4 |   +100.0 |     35.9 |     76.1 |    +40.1 |
| Villa Beachwalk                |        - |        - |        - |        - |        - |        - |        - |     42.2 |        - |
| Villa Bella Vita               |    -41.9 |    +10.7 |    +51.6 |     +3.3 |    +54.8 |    +53.3 |     44.1 |     66.0 |    +22.0 |
| Villa Bequia                   |    -51.6 |     +0.0 |    -12.9 |    -30.0 |     +3.2 |    +30.0 |     66.6 |     56.4 |    -10.2 |
| Villa Big Easy                 |   -100.0 |   -100.0 |    -12.9 |     +6.7 |     -9.7 |     +0.0 |     76.8 |     40.8 |    -36.0 |
| Villa Bluesky at the Lake      |        - |        - |        - |        - |        - |        - |        - |     36.6 |        - |
